Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Legacy of Darkness,,Common,Roboyarou,,Monster,EARTH,Machine,3,900 / 450,,,,,,
Labyrinth of Nightmare,,Common,Graverobber's Retribution,,Trap,,,,,,,,,,
Tactical Evolution,,Common,King Pyron,,Monster,FIRE,Pyro / Gemini,5,1500 / 500,,,,,,
Code of the Duelist,,Rare,Motivating Captain,,Monster,EARTH,Warrior / Effect,1,400 / 1200,,,,,,
Extreme Force,,Rare,Vector Scare Archfiend,,Monster,DARK,Cyberse / Link / Effect,,,,,,,,
Cosmo Blazer,,Super Rare,Noble Arms - Caliburn,,Spell,,,,,,,,,,
Shining Victories,,Common,Re-dyce-cle,,Trap,,,,,,,,,,
Metal Raiders,,Common,Musician King,,Monster,LIGHT,Spellcaster / Fusion,5,1750 / 1500,,,,,,
The Dark Illusion,,Common,King Scarlet,,Trap,,,,,,,,,,
Duelist Alliance,,Common,Resonance Insect,,Monster,EARTH,Insect / Effect,4,1000 / 700,,,,,,
Dark Crisis,,Ultra Rare,Skull Archfiend of Lightning,,Monster,DARK,Fiend / Effect,6,2500 / 1200,,,,,,
Magician's Force,,Short Print,Spellbook Organization,Pigeonholing Books of Spell,Spell,,,,,,,,,,
Duelist Revolution,,Common,Wattcine,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Hitotsu-Me Giant,,Monster,EARTH,Beast-Warrior,4,1200 / 1000,,,,,,
Savage Strike,,Secret Rare,Pot of Extravagance,,Spell,,,,,,,,,,
The Dark Illusion,,Secret Rare,Dark Magical Circle,,Spell,,,,,,,,,,
Extreme Victory,,Common,Meklord Army of Skiel,,Monster,WIND,Machine / Effect,4,1200 / 1000,,,,,,
Extreme Victory,,Common,Meklord Factory,,Trap,,,,,,,,,,
Crossed Souls,,Super Rare,Harpie Harpist,,Monster,WIND,Winged Beast / Effect,4,1700 / 600,,,,,,
Dawn of Majesty,,Common,Amaze Attraction Viking Vortex,,Trap,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Fallen Sanctuary,,Trap,,,,,,,,,,
Dimension Force,,Common,Sunlit Sentinel,,Monster,EARTH,Warrior / Effect,6,2300 / 1500,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Despian Tragedy,,Monster,DARK,Fairy / Effect,1,400 / 400,,,,,,
Duelist Revolution,,Super Rare,Unicorn Beacon,,Spell,,,,,,,,,,
The New Challengers,,Common,Command Performance,,Trap,,,,,,,,,,
Storm of Ragnarok,,Rare,Nordic Relic Gungnir,,Trap,,,,,,,,,,
Judgment of the Light,,Ultra Rare,Coach Captain Bearman,,Monster,FIRE,Beast-Warrior / Effect,8,2600 / 2700,,,,,,
Breakers of Shadow,,Secret Rare,Ultimate Providence,,Trap,,,,,,,,,,
Shadow of Infinity,,Common,Next to be Lost,,Trap,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Aluber the Jester of Despia,,Monster,DARK,Fairy / Effect,4,1800 / 0,,,,,,
Ignition Assault,,Common,Head Judging,,Trap,,,,,,,,,,
Order of Chaos,,Common,Sweet Corn,,Monster,EARTH,Plant / Effect,2,0 / 0,,,,,,
Dimension of Chaos,,Common,Raidraptor - Skull Eagle,,Monster,DARK,Winged Beast / Effect,3,1000 / 500,,,,,,
Breakers of Shadow,,Rare,Performapal Guitartle,,Monster,WATER,Aqua / Pendulum / Effect,1,300 / 400,,,,,,
The Shining Darkness,,Rare,Genex Searcher,,Monster,EARTH,Machine / Effect,4,1600 / 400,,,,,,
Shadow of Infinity,,Rare,Option Hunter,,Trap,,,,,,,,,,
Ignition Assault,,Common,Time Thief Startup,,Spell,,,,,,,,,,
Maximum Gold,,Rare,Mecha Phantom Beast Coltwing,,Monster,WIND,Machine / Effect,4,1600 / 1500,,,,,,
Order of Chaos,,Common,Galaxy Wave,,Spell,,,,,,,,,,
Shadow of Infinity,,Common,Ancient Gear,,Monster,EARTH,Machine / Effect,2,100 / 800,,,,,,
Dimension Force,,Common,Predaplant Bufolicula,,Monster,DARK,Plant / Pendulum / Effect,1,0 / 0,,,,,,
The Shining Darkness,,Ultra Rare,XX-Saber Darksoul,,Monster,EARTH,Beast / Effect,3,100 / 100,,,,,,
Extreme Victory,,Common,Unknown Synchron,,Monster,DARK,Machine / Tuner / Effect,1,0 / 0,,,,,,
Eternity Code,,Common,Rain Bozu,,Monster,LIGHT,Fairy / Pendulum / Effect,7,0 / 0,,,,,,
The Shining Darkness,,Common,Koa'ki Meiru Initialize!,,Spell,,,,,,,,,,
Phantom Rage,,Common,Penguin Brave,,Monster,WATER,Aqua / Synchro / Effect,6,2400 / 1200,,,,,,
Invasion: Vengeance,,Secret Rare,Starving Venom Fusion Dragon,,Monster,DARK,Dragon / Fusion / Effect,8,2800 / 2000,,,,,,
The Shining Darkness,,Super Rare,Nimble Sunfish,,Monster,WATER,Fish / Effect,2,1000 / 100,,,,,,
Galactic Overlord,,Ultra Rare,Hieratic Dragon of Sutekh,,Monster,LIGHT,Dragon / Effect,8,2800 / 2000,,,,,,
Crimson Crisis,,Ultra Rare,Hyper Psychic Blaster,,Monster,EARTH,Psychic / Synchro / Effect,9,3000 / 2500,,,,,,
The Dark Illusion,,Secret Rare,Cosmic Cyclone,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Short Print,Dragon Treasure,,Spell,,,,,,,,,,
The Lost Millennium,,Common,Elemental HERO Clayman,Elemental Hero Clayman,Monster,EARTH,Warrior / Normal,4,800 / 2000,,,,,,
Pharaoh's Servant,,Rare,Lightforce Sword,,Trap,,,,,,,,,,
Blazing Vortex,,Common,Springans Branga,,Monster,FIRE,Machine / Effect,8,500 / 2500,,,,,,
Tactical Evolution,,Rare,Symbols of Duty,,Spell,,,,,,,,,,
Rise of the Duelist,,Super Rare,Soldier Gaia the Fierce Knight,Soldier Gaia The Fierce Knight,Monster,DARK,Warrior / Effect,8,2600 / 2100,,,,,,
Flames of Destruction,,Common,Vendread Nightmare,,Spell,,,,,,,,,,
Soul of the Duelist,,Short Print,Abyssal Designator,,Spell,,,,,,,,,,
Ignition Assault,,Common,Condolence Puppet,,Spell,,,,,,,,,,
Eternity Code,,Common,Ancient Warriors - Deceptive Jia Wen,,Monster,FIRE,Beast-Warrior / Effect,4,1100 / 1800,,,,,,
Ancient Prophecy,,Common,Armed Sea Hunter,,Monster,WATER,Sea Serpent / Effect,4,1800 / 400,,,,,,
Abyss Rising,,Super Rare,Heroic Champion - Kusanagi,,Monster,EARTH,Warrior / Xyz / Effect,,2500 / 2400,4,,,,,
Blazing Vortex,,Ultra Rare,S-Force Gravitino,,Monster,LIGHT,Psychic / Effect,5,2000 / 1400,,,,,,
Power of the Duelist,,Common,Black Ptera,,Monster,WIND,Dinosaur / Effect,3,1000 / 500,,,,,,
Pharaonic Guardian,,Common,Non Aggression Area,,Trap,,,,,,,,,,
Return of the Duelist,,Super Rare,Temperance of Prophecy,,Monster,EARTH,Spellcaster / Effect,3,1000 / 1000,,,,,,
The Lost Millennium,,Rare,Legendary Black Belt,,Spell,,,,,,,,,,
Storm of Ragnarok,,Common,Wattkey,,Spell,,,,,,,,,,
Invasion: Vengeance,,Common,Mare Mare,,Monster,WATER,Wyrm / Tuner / Effect,7,2100 / 1400,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Chaos Grepher,,Monster,LIGHT,Warrior / Effect,4,1700 / 1600,,,,,,
The Duelist Genesis,,Ultra Rare,Montage Dragon,,Monster,EARTH,Dragon / Effect,8,? / 0,,,,,,
Maximum Crisis ,,Super Rare,Lyrilusc - Independent Nightingale,,Monster,WIND,Winged Beast / Fusion / Effect,1,1000 / 0,,,,,,
Pharaoh's Servant,,Common,Gamble,,Trap,,,,,,,,,,
Extreme Force,,Common,Kuro-Obi Karate Spirit,,Monster,WIND,Warrior / Pendulum / Spirit / Effect,5,2400 / 1000,,,,,,
Ignition Assault,,Rare,Annihilator Archfiend,,Monster,DARK,Fiend / Effect,9,2000 / 3000,,,,,,
Power of the Duelist,,Common,D - Spirit,,Spell,,,,,,,,,,
Extreme Force,,Short Print,"Contact ""C""",,Monster,EARTH,Insect / Effect,6,1500 / 2200,,,,,,
Magician's Force,,Common,Oppressed People,,Monster,WATER,Aqua,1,400 / 2000,,,,,,
Pharaoh's Servant,,Common,Darkfire Soldier #1,,Monster,FIRE,Pyro,4,1700 / 1150,,,,,,
Return of the Duelist,,Super Rare,Madolche Magileine,,Monster,EARTH,Spellcaster / Effect,4,1400 / 1200,,,,,,
Abyss Rising,,Super Rare,Ignoble Knight of Black Laundsallyn,,Monster,DARK,Warrior / Effect,5,2000 / 800,,,,,,
Code of the Duelist,,Common,Treasure Panda,,Monster,EARTH,Beast / Effect,4,1100 / 2000,,,,,,
Ancient Prophecy,,Super Rare,Saber Slash,,Spell,,,,,,,,,,
Invasion: Vengeance,,Common,Graydle Slime Jr.,,Monster,WATER,Aqua / Tuner / Effect,2,0 / 2000,,,,,,
Tactical Evolution,,Common,Chrysalis Larva,,Monster,FIRE,Insect / Effect,2,300 / 300,,,,,,
Maximum Gold,,Rare,Mind Control,,Spell,,,,,,,,,,
Dark Neostorm,,Common,Loud Cloud the Storm Serpent,,Monster,WATER,Reptile / Effect,5,0 / 2000,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Hysteric Sign,,Spell,,,,,,,,,,
Stardust Overdrive,,Secret Rare,Ice Queen,,Monster,WATER,Spellcaster / Effect,8,2900 / 2100,,,,,,
Tactical Evolution,,Secret Rare,Elemental HERO Magma Neos,Elemental Hero Magma Neos,Monster,FIRE,Warrior / Fusion / Effect,9,3000 / 2500,,,,,,
Phantom Rage,,Common,The Phantom Knights of Stained Greaves,,Monster,DARK,Warrior / Effect,3,1200 / 600,,,,,,
Abyss Rising,,Common,Metallizing Parasite - Soltite,,Monster,WATER,Aqua / Union,7,1000 / 500,,,,,,
The Lost Millennium,,Common,King of the Skull Servants,,Monster,DARK,Zombie / Effect,1,? / 0,,,,,,
Maximum Gold,,Rare,Barrier Statue of the Drought,,Monster,EARTH,Rock / Effect,4,1000 / 1000,,,,,,
Rise of the Duelist,,Super Rare,The First Darklord,,Monster,DARK,Fairy / Fusion / Effect,12,4000 / 4000,,,,,,
Maximum Gold,,Rare,D.D. Warrior Lady,D. D. Warrior Lady,Monster,LIGHT,Warrior / Effect,4,1500 / 1600,,,,,,
Raging Battle,,Short Print,Mirror of Oaths,,Trap,,,,,,,,,,
Clash of Rebellions,,Super Rare,Red-Eyes Archfiend of Lightning,,Monster,DARK,Fiend / Gemini / Effect,6,2500 / 1200,,,,,,
Soul Fusion,,Common,Predaplast,,Spell,,,,,,,,,,
Blazing Vortex,,Secret Rare,Underworld Goddess of the Closed World,,Monster,LIGHT,Fiend / Link / Effect,,,,,,,,
Cosmo Blazer,,Ultra Rare,Breakthrough Skill,,Trap,,,,,,,,,,
Invasion of Chaos,,Common,Balloon Lizard,,Monster,EARTH,Reptile / Effect,4,500 / 1900,,,,,,
Dawn of Majesty,,Super Rare,Magikey Mechmortar - Garesglasser,,Monster,EARTH,Machine / Ritual / Effect,8,2000 / 2800,,,,,,
The Dark Illusion,,Common,Forbidden Dark Contract with the Swamp King,,Spell,,,,,,,,,,
Ancient Prophecy,,Super Rare,Beast Machine King Barbaros Ür,,Monster,EARTH,Beast-Warrior / Effect,8,3800 / 1200,,,,,,
Flames of Destruction,,Super Rare,Knightmare Phoenix,,Monster,FIRE,Fiend / Link / Effect,,,,,,,,
Legend of Blue Eyes White Dragon,,Short Print,Power of Kaishin,,Spell,,,,,,,,,,
Legendary Duelists: Synchro Storm,,Ultra Rare,Lyrilusc - Ensemblue Robin,,Monster,WIND,Winged Beast / Xyz / Effect,,0 / 0,1,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Outburst Dragon,,Monster,DARK,Dragon / Effect,8,2100 / 2800,,,,,,
Galactic Overlord,,Super Rare,"Gaia Dragon, the Thunder Charger",,Monster,WIND,Dragon / Xyz / Effect,,2600 / 2100,7,,,,,
Maximum Crisis ,,Rare,D/D/D Stone King Darius,,Monster,EARTH,Fiend / Xyz / Effect,,1900 / 1000,3,,,,,
Metal Raiders,,Short Print,Jinzo #7,,Monster,DARK,Machine / Effect,2,500 / 400,,,,,,
Rise of Destiny,,Common,Mighty Guard,,Monster,EARTH,Machine,4,500 / 1200,,,,,,
Metal Raiders,,Common,Steel Scorpion,,Monster,EARTH,Machine / Effect,1,250 / 300,,,,,,
Crossroads of Chaos,,Common,Gadget Driver,,Monster,EARTH,Machine / Effect,1,200 / 200,,,,,,
Invasion: Vengeance,,Ultra Rare,Meteor Black Comet Dragon,,Monster,DARK,Dragon / Fusion / Effect,8,3500 / 2000,,,,,,
Battle of Chaos,,Secret Rare,Dinomorphia Therizia,,Monster,DARK,Dinosaur / Effect,4,1500 / 0,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Dark Magician the Dragon Knight,,Monster,DARK,Dragon / Fusion / Effect,8,3000 / 2500,,,,,,
Storm of Ragnarok,,Common,Shien's Squire,,Monster,EARTH,Warrior / Tuner,1,300 / 700,,,,,,
Circuit Break,,Secret Rare,Overdone Burial,Excessive Burial,Spell,,,,,,,,,,
Rise of the Duelist,,Ultra Rare,Speedroid CarTurbo,,Monster,WIND,Machine / Tuner / Effect,3,800 / 1200,,,,,,
Shining Victories,,Common,Blackwing - Decay the Ill Wind,,Monster,DARK,Winged Beast / Tuner / Effect,4,1000 / 1000,,,,,,
Legacy of Darkness,,Common,Nutrient Z,,Trap,,,,,,,,,,
Power of the Duelist,,Common,Alien Skull,,Monster,WIND,Reptile / Effect,4,1600 / 1800,,,,,,
Maximum Crisis ,,Rare,Magician's Restage,,Spell,,,,,,,,,,
Code of the Duelist,,Common,Ancient Gear Golem - Ultimate Pound,,Monster,EARTH,Machine / Effect,8,3000 / 3000,,,,,,
Stardust Overdrive,,Rare,Zero Gardna,,Monster,EARTH,Warrior / Effect,4,0 / 0,,,,,,
Galactic Overlord,,Rare,Gagaga Gardna,,Monster,EARTH,Warrior / Effect,4,1500 / 2000,,,,,,
Rising Rampage,,Common,Fighting Dirty,,Trap,,,,,,,,,,
The Dark Illusion,,Super Rare,Metalfoes Fusion,,Spell,,,,,,,,,,
Dimension of Chaos,,Short Print,Pot of The Forbidden,,Monster,EARTH,Rock / Flip / Effect,9,2000 / 3000,,,,,,
Chaos Impact,,Common,Marincess Battle Ocean,,Spell,,,,,,,,,,
Abyss Rising,,Super Rare,Number 8: Heraldic King Genom-Heritage,,Monster,LIGHT,Psychic / Xyz / Effect,,2400 / 1800,4,,,,,
Ancient Sanctuary,,Common,Absorbing Kid from the Sky,,Monster,LIGHT,Fairy / Effect,4,1300 / 1000,,,,,,
Judgment of the Light,,Rare,DZW - Chimera Clad,,Monster,DARK,Fiend / Effect,1,0 / 0,,,,,,
Dimension Force,,Common,Predaplant Triantis,,Monster,DARK,Plant / Pendulum / Effect,8,2400 / 1000,,,,,,
Spell Ruler,,Common,Mechanical Snail,,Monster,DARK,Machine,3,800 / 1000,,,,,,
Crimson Crisis,,Common,Fake Explosion,,Trap,,,,,,,,,,
Shadow Specters,,Super Rare,Ghostrick Ghoul,,Monster,DARK,Zombie / Effect,3,1100 / 1200,,,,,,
Dimension Force,,Common,Heroic Challenger - Morning Star,,Monster,EARTH,Warrior / Effect,4,1500 / 1300,,,,,,
Raging Tempest,,Rare,SPYRAL Tough,,Monster,WIND,Warrior / Effect,4,1900 / 1500,,,,,,
Metal Raiders,,Common,7 Colored Fish,,Monster,WATER,Fish,4,1800 / 800,,,,,,
Duelist Alliance,,Secret Rare,Magical Spring,,Spell,,,,,,,,,,
Flaming Eternity,,Common,The Dark - Hex-Sealed Fusion,,Monster,DARK,Rock / Effect,3,1000 / 1600,,,,,,
Enemy of Justice,,Common,Celestial Transformation,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Chimeratech Rampage Dragon,,Monster,DARK,Machine / Fusion / Effect,5,2100 / 1600,,,,,,
Phantom Rage,,Common,Tri-Brigade Rugal the Silver Sheller,,Monster,EARTH,Beast-Warrior / Link / Effect,,,,,,,,
Extreme Force,,Common,Parallel Port Armor,,Trap,,,,,,,,,,
Shadow of Infinity,,Common,Ancient Gear Factory,,Spell,,,,,,,,,,
Light of Destruction,,Rare,Owner's Seal,,Spell,,,,,,,,,,
Legendary Duelists: Synchro Storm,,Common,Noble Knight Joan,,Monster,LIGHT,Warrior / Effect,4,1900 / 1300,,,,,,
Invasion of Chaos,,Ultra Rare,Black Luster Soldier - Envoy of the Beginning,,Monster,LIGHT,Warrior / Effect,8,3000 / 2500,,,,,,
Phantom Rage,,Common,Awakening of the Possessed - Rasenryu,,Monster,WIND,Dragon / Effect,5,2000 / 200,,,,,,
Primal Origin,,Common,Artifact Labrys,,Monster,LIGHT,Fairy / Effect,5,2300 / 1000,,,,,,
Tactical Evolution,,Secret Rare,Il Blud,,Monster,DARK,Zombie / Gemini / Effect,6,2100 / 800,,,,,,
Crossed Souls,,Common,Infernoid Sjette,,Monster,FIRE,Fiend / Effect,6,2400 / 0,,,,,,
Crossed Souls,,Common,Yosenju Kodam,,Monster,WIND,Beast-Warrior / Effect,1,0 / 0,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ghost Rare,Cyber Dragon,,Monster,LIGHT,Machine / Effect,5,2100 / 1600,,,,,,
The Duelist Genesis,,Common,Sword of Kusanagi,,Spell,,,,,,,,,,
Photon Shockwave,,Rare,Gishki Beast,,Monster,WATER,Beast / Effect,4,1500 / 1300,,,,,,
Extreme Victory,,Common,Morphtronic Staplen,,Monster,EARTH,Machine / Effect,4,1400 / 1000,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Wandering King Wildwind,,Monster,DARK,Fiend / Effect,4,1700 / 1300,,,,,,
Phantom Darkness,,Common,Cybernetic Zone,,Spell,,,,,,,,,,
Generation Force,,Rare,Jawsman,,Monster,WATER,Beast-Warrior / Effect,6,2600 / 1600,,,,,,
Raging Battle,,Common,Natural Tune,,Spell,,,,,,,,,,
Starstrike Blast,,Ultra Rare,Tuning,,Spell,,,,,,,,,,
Invasion of Chaos,,Common,Recycle,,Spell,,,,,,,,,,
Ancient Prophecy,,Rare,Pseudo Space,,Spell,,,,,,,,,,
Ignition Assault,,Common,Daruma Dropper,,Monster,EARTH,Warrior / Effect,4,700 / 1800,,,,,,
Judgment of the Light,,Rare,Traptrix Myrmeleo,,Monster,EARTH,Insect / Effect,4,1600 / 1200,,,,,,
Dimension of Chaos,,Super Rare,D/D/D Rebel King Leonidas,,Monster,DARK,Fiend / Pendulum / Effect,7,2600 / 1200,,,,,,
Dark Neostorm,,Common,Assault Sentinel,,Monster,EARTH,Beast-Warrior / Effect,4,1600 / 800,,,,,,
Battle of Chaos,,Common,Rock Scales,,Monster,WATER,Fish / Effect,5,2100 / 1600,,,,,,
Shadow Specters,,Common,Baby Raccoon Tantan,Baby Raccoon Tantann,Monster,EARTH,Beast / Flip / Effect,2,0 / 800,,,,,,
Shadow Specters,,Common,Ghostrick Stein,,Monster,DARK,Zombie / Effect,3,1600 / 0,,,,,,
Elemental Energy,,Common,Simultaneous Loss,,Trap,,,,,,,,,,
Legacy of the Valiant,,Common,Starship Spy Plane,,Monster,WIND,Machine / Effect,4,1100 / 500,,,,,,
Chaos Impact,,Common,Desert Locusts,,Monster,EARTH,Insect / Synchro / Tuner / Effect,6,1500 / 2400,,,,,,
Shadow Specters,,Common,Mira the Star-Bearer,,Monster,LIGHT,Warrior / Xyz / Effect,,1100 / 1000,1,,,,,
Stardust Overdrive,,Super Rare,Preparation of Rites,,Spell,,,,,,,,,,
Crossed Souls,,Short Print,Diceversity,,Trap,,,,,,,,,,
Legacy of Darkness,,Rare,Royal Oppression,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Hinotama Soul,,Monster,FIRE,Pyro,2,600 / 500,,,,,,
Generation Force,,Common,Legendary Wind-Up Key,,Spell,,,,,,,,,,
Phantom Darkness,,Rare,Cry Havoc!,,Trap,,,,,,,,,,
The Dark Illusion,,Rare,Triamid Pulse,,Trap,,,,,,,,,,
Dimension Force,,Common,Alghoul Mazera,,Monster,EARTH,Zombie / Effect,8,2800 / 2300,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,The Sanctum of Parshath,,Spell,,,,,,,,,,
Crossed Souls,,Rare,Void Purification,,Trap,,,,,,,,,,
Dark Crisis,,Ultra Rare,Reflect Bounder,,Monster,LIGHT,Machine / Effect,4,1700 / 1000,,,,,,
Pharaoh's Servant,,Common,Twin-Headed Fire Dragon,,Monster,FIRE,Pyro,6,2200 / 1700,,,,,,
Generation Force,,Common,Wind-Up Soldier,,Monster,EARTH,Warrior / Effect,4,1800 / 1200,,,,,,
Return of the Duelist,,Common,Damage Mage,,Monster,DARK,Spellcaster / Effect,3,600 / 1200,,,,,,
Ignition Assault,,Super Rare,Light Dragon @Ignister,,Monster,LIGHT,Cyberse / Xyz / Effect,,2300 / 1500,4,,,,,
Breakers of Shadow,,Common,Dinomist Ceratops,,Monster,WATER,Machine / Pendulum / Effect,5,2100 / 400,,,,,,
Burst of Destiny,,Secret Rare,Lord of the Heavenly Prison,,Monster,DARK,Rock / Effect,10,3000 / 3000,,,,,,
Legacy of the Valiant,,Common,Ghostrick Yeti,,Monster,DARK,Zombie / Effect,3,300 / 2000,,,,,,
Labyrinth of Nightmare,,Common,Cure Mermaid,,Monster,WATER,Fish / Effect,4,1500 / 800,,,,,,
Raging Tempest,,Common,Rocket Hand,,Trap,,,,,,,,,,
Ancient Prophecy,,Short Print,"Shiny Black ""C""",,Monster,EARTH,Insect / Effect,1,200 / 500,,,,,,
Code of the Duelist,,Common,Boogie Trap,,Spell,,,,,,,,,,
Spell Ruler,,Common,Sonic Bird,,Monster,WIND,Winged Beast / Effect,4,1400 / 1000,,,,,,
Legacy of the Valiant,,Common,Chronomaly Winged Sphinx,,Monster,EARTH,Rock / Effect,5,1600 / 1900,,,,,,
Metal Raiders,,Rare,Dark Elf,,Monster,DARK,Spellcaster / Effect,4,2000 / 800,,,,,,
Circuit Break,,Short Print,Muscle Medic,,Monster,WATER,Warrior / Effect,4,2200 / 100,,,,,,
Generation Force,,Ultra Rare,Leviair the Sea Dragon,,Monster,WIND,Aqua / Xyz / Effect,,1800 / 1600,3,,,,,
Lightning Overdrive,,Common,A.I. Meet You,,Spell,,,,,,,,,,
Light of Destruction,,Secret Rare,Fossil Dyna Pachycephalo,,Monster,EARTH,Rock / Effect,4,1200 / 1300,,,,,,
Cosmo Blazer,,Common,Garbage Ogre,,Monster,DARK,Fiend / Effect,3,800 / 1300,,,,,,
Chaos Impact,,Common,Soul Levy,,Trap,,,,,,,,,,
Extreme Victory,,Common,Esper Girl,,Monster,EARTH,Psychic / Tuner,2,500 / 300,,,,,,
The Shining Darkness,,Common,Silent Graveyard,Forbidden Graveyard,Spell,,,,,,,,,,
Magician's Force,,Common,Burning Beast,,Monster,FIRE,Pyro / Union,4,1500 / 1000,,,,,,
Elemental Energy,,Common,Blade Skater,,Monster,EARTH,Warrior / Normal,4,1400 / 1500,,,,,,
Labyrinth of Nightmare,,Rare,Return of the Doomed,,Spell,,,,,,,,,,
Ancient Prophecy,,Common,Koa'ki Meiru Hydro Barrier,,Monster,WATER,Aqua / Effect,3,1000 / 1900,,,,,,
Crossroads of Chaos,,Rare,Prideful Roar,,Trap,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Ghost Belle & Haunted Mansion,,Monster,EARTH,Zombie / Tuner / Effect,3,0 / 1800,,,,,,
Dawn of Majesty,,Super Rare,Link Apple,,Monster,FIRE,Cyberse / Effect,1,0 / 0,,,,,,
The Duelist Genesis,,Ultra Rare,Red Dragon Archfiend,,Monster,DARK,Dragon / Synchro / Effect,8,3000 / 2000,,,,,,
Phantom Rage,,Common,Myutant Clash,,Trap,,,,,,,,,,
Power of the Duelist,,Rare,Future Fusion,,Spell,,,,,,,,,,
Flames of Destruction,,Short Print,Red Hared Hasty Horse,,Monster,WIND,Beast / Effect,5,2000 / 1800,,,,,,
Absolute Powerforce,,Rare,Core Blast,,Trap,,,,,,,,,,
Invasion of Chaos,,Super Rare,D.D. Designator,D. D. Designator,Spell,,,,,,,,,,
Burst of Destiny,,Common,Outstanding Dog Mary,,Monster,LIGHT,Beast / Effect,1,100 / 100,,,,,,
Metal Raiders,,Rare,Little Chimera,,Monster,FIRE,Beast / Effect,2,600 / 550,,,,,,
Lightning Overdrive,,Common,Birth of the Prominence Flame,,Spell,,,,,,,,,,
Lord of the Tachyon Galaxy,,Rare,Number 69: Heraldry Crest,,Monster,LIGHT,Psychic / Xyz / Effect,,2600 / 1400,4,,,,,
Cyberdark Impact,,Common,Barrier Statue of the Stormwinds,,Monster,WIND,Winged Beast / Effect,4,1000 / 1000,,,,,,
Light of Destruction,,Common,Arcana Force VI - The Lovers,,Monster,LIGHT,Fairy / Effect,4,1600 / 1600,,,,,,
Blazing Vortex,,Common,Amanokujaki,,Monster,LIGHT,Fiend / Tuner / Effect,3,1000 / 1000,,,,,,
Cyberdark Impact,,Super Rare,Trojan Blast,,Trap,,,,,,,,,,
Lord of the Tachyon Galaxy,,Common,Aerial Recharge,,Trap,,,,,,,,,,
Maximum Crisis ,,Short Print,Fire Cracker,,Monster,FIRE,Fiend / Effect,4,1700 / 200,,,,,,
Galactic Overlord,,Rare,Absorbing Jar,,Monster,EARTH,Rock / Flip / Effect,3,600 / 500,,,,,,
Judgment of the Light,,Short Print,Single Purchase,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Electro-Whip,,Spell,,,,,,,,,,
Flames of Destruction,,Common,Limit Code,,Trap,,,,,,,,,,
Blazing Vortex,,Common,Dual Avatar Ascendance,,Trap,,,,,,,,,,
Cyberdark Impact,,Common,Linear Accelerator Cannon,,Spell,,,,,,,,,,
Ignition Assault,,Common,Donyoribo @Ignister,,Monster,DARK,Cyberse / Effect,1,300 / 0,,,,,,
Enemy of Justice,,Common,H - Heated Heart,,Spell,,,,,,,,,,
Burst of Destiny,,Ultra Rare,Heavy Beetrooper Mighty Neptune,,Monster,EARTH,Insect / Effect,8,3000 / 3000,,,,,,
Pharaoh's Servant,,Rare,Magic Drain,,Trap,,,,,,,,,,
Dark Crisis,,Super Rare,Mirage Knight,,Monster,LIGHT,Warrior / Effect,8,2800 / 2000,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Dragoness the Wicked Knight,,Monster,WIND,Warrior / Fusion,3,1200 / 900,,,,,,
Order of Chaos,,Rare,Dark Blade the Captain of the Evil World,,Monster,DARK,Warrior / Effect,4,1800 / 1500,,,,,,
Stardust Overdrive,,Common,Reptilianne Spawn,,Spell,,,,,,,,,,
Legendary Duelists: Synchro Storm,,Common,Speedroid Double Yoyo,,Monster,WIND,Machine / Effect,4,1400 / 1400,,,,,,
Dimension Force,,Common,Supreme Sea Mare,,Monster,WATER,Aqua / Effect,4,1500 / 1600,,,,,,
Shadow Specters,,Secret Rare,Meliae of the Trees,,Monster,EARTH,Plant / Xyz / Effect,,1700 / 900,3,,,,,
Photon Shockwave,,Short Print,Goblin Pothole Squad,,Monster,EARTH,Warrior / Effect,4,1500 / 400,,,,,,
Rising Rampage,,Super Rare,Dream Mirror of Terror,,Spell,,,,,,,,,,
Strike of Neos,,Common,Change of Hero - Reflector Ray,,Trap,,,,,,,,,,
Invasion: Vengeance,,Rare,Saber Reflection,,Spell,,,,,,,,,,
